epoch;train_loss;train_acc;val_acc
1;0.4267180877896498;7.904.364.107.734.400;0.8710110849848841
2;0.23462599189737426;8.973.066.397.810.740;0.8807524353375882
3;0.14998717861859479;9.366.268.183.782.220;0.8814242526032919
4;0.09158793178897712;9.647.126.602.333.280;0.88108834397044
5;0.06725762481479326;9.747.947.573.095.200;0.8854551561975142
6;0.05446560683441327;9.812.761.054.299.290;0.8790728921733288
7;0.03485314852143917;988.477.603.341.495;0.8891501511588847
8;0.030235929695206956;9.896.298.430.073.450;0.8904937856902922
9;0.02895556980382419;9.891.977.531.326.510;0.8854551561975142
10;0.03360368685007164;9.890.537.231.744.200;0.8884783338931811
